variable,category,count,percent
nivel_mate,debe mejorar,36,51.43
nivel_mate,insatisfactorio,17,24.29
nivel_mate,excelente,9,12.86
nivel_mate,satisfactorio,8,11.43
nivel_lectura,excelente,37,52.86
nivel_lectura,satisfactorio,14,20.0
nivel_lectura,debe mejorar,11,15.71
nivel_lectura,insatisfactorio,8,11.43
logro_mate,no logro,53,75.71
logro_mate,logro,17,24.29
logro_lectura,logro,51,72.86
logro_lectura,no logro,19,27.14
trabaja,No,62,88.57
trabaja,Sí,8,11.43
acceso_internet,Sí,67,95.71
acceso_internet,No,3,4.29
asistencia_preprimaria,Sí,1,1.43
asistencia_preprimaria,No,1,1.43
sexo,Masculino,39,55.71
sexo,Fememnino,31,44.29
padre_asistio_escuela,No sabe,68,97.14
padre_asistio_escuela,No,1,1.43
padre_asistio_escuela,Sí,1,1.43
grado_alcanzado_padre,Universidad,31,44.29
grado_alcanzado_padre,Diversificado,29,41.43
grado_alcanzado_padre,Básicos,7,10.0
grado_alcanzado_padre,Primaria,2,2.86
grado_alcanzado_padre,No sabe / No asistió,1,1.43
madre_asistio_escuela,No sabe,70,100.0
grado_alcanzado_madre,Universidad,37,52.86
grado_alcanzado_madre,Diversificado,20,28.57
grado_alcanzado_madre,Básicos,9,12.86
grado_alcanzado_madre,Primaria,4,5.71
grupo_etnico,Ladino,64,91.43
grupo_etnico,Maya,4,5.71
grupo_etnico,Garífuna,2,2.86
rep_primaria,No,63,90.0
rep_primaria,Sí,7,10.0
