variable,category,count,percent
nivel_mate,debe mejorar,26,44.07
nivel_mate,insatisfactorio,23,38.98
nivel_mate,excelente,6,10.17
nivel_mate,satisfactorio,4,6.78
nivel_lectura,excelente,23,38.98
nivel_lectura,satisfactorio,15,25.42
nivel_lectura,debe mejorar,11,18.64
nivel_lectura,insatisfactorio,10,16.95
logro_mate,no logro,49,83.05
logro_mate,logro,10,16.95
logro_lectura,logro,38,64.41
logro_lectura,no logro,21,35.59
periodos_semanales_mate,5 periodos,35,59.32
periodos_semanales_mate,4 periodos,8,13.56
periodos_semanales_mate,6 periodos,6,10.17
periodos_semanales_mate,3 periodos,6,10.17
periodos_semanales_mate,7 o mas,3,5.08
periodos_semanales_mate,2 periodos,1,1.69
periodos_semanales_lectura,ninguno,34,57.63
periodos_semanales_lectura,5 periodos,7,11.86
periodos_semanales_lectura,4 periodos,6,10.17
periodos_semanales_lectura,3 periodos,5,8.47
periodos_semanales_lectura,1 periodo,5,8.47
periodos_semanales_lectura,6 periodos,1,1.69
periodos_semanales_lectura,2 periodos,1,1.69
trabaja,No,57,96.61
trabaja,Sí,2,3.39
asistencia_preprimaria,Sí,54,91.53
asistencia_preprimaria,No,4,6.78
sexo,Masculino,34,57.63
sexo,Fememnino,25,42.37
padre_asistio_escuela,Sí,53,89.83
padre_asistio_escuela,No sabe,4,6.78
padre_asistio_escuela,No,2,3.39
grado_alcanzado_padre,Diversificado,17,28.81
grado_alcanzado_padre,Universidad,14,23.73
grado_alcanzado_padre,Primaria,10,16.95
grado_alcanzado_padre,Básicos,8,13.56
grado_alcanzado_padre,No sabe / No asistió,6,10.17
grado_alcanzado_padre,posgrado,4,6.78
grado_alcanzado_madre,Diversificado,26,44.07
grado_alcanzado_madre,Primaria,13,22.03
grado_alcanzado_madre,Universidad,9,15.25
grado_alcanzado_madre,Básicos,8,13.56
grado_alcanzado_madre,posgrado,2,3.39
grado_alcanzado_madre,No sabe / No asistió,1,1.69
grupo_etnico,Ladino,54,91.53
grupo_etnico,Maya,4,6.78
grupo_etnico,Extranjero,1,1.69
rep_primaria,No,55,93.22
rep_primaria,Sí,3,5.08
